ALT(m)	PRESS(mb)	TEMP(C)	RH(%)	SPEED (m/s)	WDIR(deg)
1480	851.70		30.16	15.86	6.70		275.99
1481	851.65		30.21	15.84	6.70		275.49
1482	851.57		30.16	15.80	6.70		274.99
1484	851.39		30.12	15.77	6.85		274.09
1486	851.17		30.14	15.76	6.95		273.79
1487	851.08		30.07	15.76	6.70		272.89
1488	850.99		30.07	15.76	6.70		272.59
1489	850.90		30.07	15.74	6.40		270.05
1490	850.78		30.02	15.72	6.40		270.99
1491	850.72		30.07	15.73	6.40		272.19
1492	850.63		30.02	15.72	6.30		273.39
1495	850.28		30.03	15.74	6.55		272.99
1496	850.22		29.98	15.71	6.85		274.30
1498	850.00		29.93	15.71	6.90		276.79
1499	849.94		29.95	15.72	6.95		279.04
1501	849.73		29.84	15.73	6.90		281.19
1502	849.66		29.84	15.73	6.90		280.89
1503	849.54		29.88	15.78	6.60		279.89
1504	849.42		29.79	15.74	6.40		280.09
1506	849.29		29.79	15.76	6.85		278.33
1507	849.15		29.84	15.69	7.00		275.59
1508	849.11		29.75	15.73	7.00		276.49
1509	848.96		29.81	15.69	7.23		271.56
1510	848.92		29.75	15.66	7.10		263.19
1511	848.75		29.75	15.63	7.00		259.49
1512	848.65		29.75	15.61	6.80		255.59
1514	848.51		29.75	15.62	6.50		252.89
1516	848.33		29.70	15.62	6.70		251.79
1517	848.24		29.70	15.64	6.70		253.99
1518	848.15		29.70	15.62	6.90		255.49
1519	848.05		29.73	15.65	7.00		257.94
1522	847.73		29.75	15.64	6.85		258.30
1523	847.62		29.77	15.63	6.75		257.89
1525	847.44		29.75	15.60	6.55		259.14
1527	847.27		29.75	15.60	6.50		260.69
1528	847.18		29.73	15.58	6.35		261.79
1529	847.08		29.64	15.59	6.20		261.54
1530	846.94		29.61	15.59	6.20		261.09
1531	846.89		29.64	15.60	6.25		260.39
1533	846.72		29.61	15.60	6.40		259.39
1535	846.54		29.61	15.57	6.50		258.89
1536	846.45		29.57	15.59	6.65		257.44
1537	846.26		29.55	15.57	6.53		257.03
1540	846.05		29.52	15.56	6.50		255.29
1541	845.96		29.52	15.56	6.60		254.99
1542	845.82		29.55	15.53	6.45		257.19
1544	845.68		29.55	15.54	6.40		260.69
1545	845.59		29.52	15.49	6.50		266.47
1546	845.41		29.48	15.51	6.55		268.48
1548	845.25		29.48	15.46	6.53		274.30
1551	845.01		29.47	15.46	6.60		276.19
1552	844.92		29.52	15.46	6.50		275.59
1553	844.75		29.43	15.46	6.60		275.59
1554	844.69		29.43	15.44	6.55		275.99
1555	844.57		29.39	15.48	6.50		275.49
1556	844.48		29.43	15.46	6.50		274.49
1557	844.39		29.43	15.48	6.30		270.09
1558	844.32		29.41	15.49	6.20		270.11
1560	844.13		29.37	15.47	5.90		267.45
1562	843.97		29.34	15.47	5.80		265.99
1563	843.85		29.37	15.46	5.95		266.65
1565	843.61		29.34	15.42	6.10		267.49
1566	843.57		29.28	15.41	6.35		265.94
1568	843.39		29.30	15.40	6.45		263.89
1569	843.30		29.34	15.39	6.60		263.09
1570	843.13		29.25	15.39	6.50		261.49
1571	843.08		29.25	15.38	6.60		262.29
1572	842.97		29.23	15.36	6.50		260.94
1573	842.86		29.25	15.32	6.50		264.49
1574	842.77		29.25	15.34	6.50		262.69
1575	842.68		29.21	15.32	6.40		266.09
1576	842.63		29.21	15.31	6.10		269.09
1577	842.53		29.16	15.29	6.00		270.89
1578	842.41		29.16	15.28	6.10		273.69
1579	842.34		29.14	15.24	6.05		276.78
1580	842.24		29.12	15.19	5.80		279.09
1581	842.09		29.19	15.16	5.70		279.14
1583	841.97		29.12	15.19	5.80		279.79
1585	841.75		29.12	15.15	5.95		279.42
1586	841.64		29.12	15.12	6.10		277.49
1588	841.46		29.08	15.10	6.30		275.89
1589	841.37		29.08	15.08	6.30		273.79
1590	841.28		29.08	15.06	6.10		271.61
1591	841.14		29.08	15.02	6.10		267.29
1592	841.05		29.08	15.02	6.30		265.39
1593	840.98		29.05	15.05	6.55		264.74
1595	840.81		29.03	15.06	6.25		263.80
1596	840.66		28.99	15.08	6.30		263.19
1597	840.57		28.99	15.08	6.30		262.89
1598	840.48		28.99	15.08	6.40		263.39
1599	840.40		28.99	15.04	6.50		264.09
1601	840.19		28.99	15.02	6.30		265.39
1603	840.07		28.92	15.02	6.40		268.01
1604	839.92		28.94	15.00	6.30		271.09
1605	839.88		28.94	15.00	6.40		270.19
1606	839.79		28.94	14.98	6.30		270.69
1607	839.66		28.90	14.98	6.40		270.89
1609	839.48		28.86	14.98	6.30		271.49
1610	839.39		28.88	14.95	6.35		273.59
1611	839.25		28.81	14.95	6.30		274.59
1612	839.18		28.90	14.93	6.15		276.13
1613	839.07		28.86	14.93	6.10		276.29
1614	838.98		28.90	14.91	6.00		277.39
1615	838.94		28.90	14.90	5.90		278.09
1616	838.79		28.86	14.91	6.10		278.89
1617	838.70		28.86	14.89	6.45		279.99
1619	838.56		28.86	14.89	6.40		279.69
1620	838.41		28.79	14.88	6.35		278.64
1622	838.24		28.81	14.89	6.25		276.94
1623	838.14		28.73	14.88	6.40		275.99
1624	838.06		28.79	14.87	6.60		273.76
1625	837.94		28.77	14.84	6.50		270.99
1626	837.82		28.77	14.83	6.30		269.19
1627	837.81		28.77	14.83	6.10		267.49
1629	837.61		28.75	14.85	6.05		266.59
1630	837.50		28.73	14.84	6.20		266.49
1631	837.39		28.73	14.85	6.25		267.24
1633	837.23		28.70	14.81	6.20		264.79
1635	837.05		28.73	14.80	6.40		264.59
1636	836.93		28.66	14.81	6.40		263.64
1637	836.81		28.68	14.79	6.30		262.99
1638	836.73		28.68	14.79	6.35		262.75
1639	836.62		28.62	14.80	6.50		263.39
1640	836.56		28.64	14.79	6.50		264.49
1641	836.45		28.64	14.77	6.50		264.89
1642	836.34		28.62	14.79	6.35		265.04
1643	836.23		28.59	14.80	6.20		265.09
1644	836.19		28.59	14.81	6.00		265.29
1645	836.05		28.60	14.80	5.80		267.19
1646	835.96		28.55	14.82	6.00		266.59
1647	835.92		28.59	14.79	5.80		267.49
1648	835.79		28.55	14.79	5.85		266.90
1649	835.65		28.55	14.79	5.80		265.59
1650	835.56		28.55	14.79	5.90		265.49
1651	835.47		28.55	14.77	6.20		264.49
